company,year,tipo,region,actual_ton
TASA,2018,T2,Centro Norte,135150.0
TASA,2019,T1,Centro Norte,110076.0
TASA,2019,T2,Centro Norte,80056.0
TASA,2020,T1,Centro Norte,147963.0
TASA,2020,T2,Centro Norte,99594.0
TASA,2021,T1,Centro Norte,134523.0
TASA,2021,T2,Centro Norte,65610.0
TASA,2022,T1,Centro Norte,193540.0
TASA,2022,T2,Centro Norte,81580.0
TASA,2023,T1,Centro Norte,1146.0
TASA,2023,T2,Centro Norte,62986.8886986
TASA,2024,T1,Centro Norte,438259.191425
TASA,2024,T2,Centro Norte,169870.2470757
TASA,2025,T1,Centro Norte,129232.6833518
TASA,2025,T2,Centro Norte,127692.0
AUSTRAL GROUP SAA,2015,T2,Centro Sur,48700.0
AUSTRAL GROUP SAA,2016,T1,Centro Sur,41915.0
AUSTRAL GROUP SAA,2016,T2,Centro Sur,11820.0
AUSTRAL GROUP SAA,2017,T1,Centro Sur,123365.0
AUSTRAL GROUP SAA,2018,T1,Centro Sur,97055.0
AUSTRAL GROUP SAA,2018,T2,Centro Sur,55970.0
AUSTRAL GROUP SAA,2019,T1,Centro Sur,86710.0
AUSTRAL GROUP SAA,2019,T2,Centro Sur,11355.0
AUSTRAL GROUP SAA,2020,T1,Centro Sur,25830.0
AUSTRAL GROUP SAA,2020,T2,Centro Sur,30790.0
AUSTRAL GROUP SAA,2021,T1,Centro Sur,44200.0
AUSTRAL GROUP SAA,2021,T2,Centro Sur,77760.0
AUSTRAL GROUP SAA,2022,T1,Centro Sur,106210.0
AUSTRAL GROUP SAA,2022,T2,Centro Sur,17710.0
AUSTRAL GROUP SAA,2023,T1,Centro Sur,285.0
AUSTRAL GROUP SAA,2023,T2,Centro Sur,72650.0
AUSTRAL GROUP SAA,2024,T1,Centro Sur,87695.1159004
AUSTRAL GROUP SAA,2024,T2,Centro Sur,46479.8429611
AUSTRAL GROUP SAA,2025,T1,Centro Sur,108975.601449
AUSTRAL GROUP SAA,2025,T2,Centro Sur,21892.0
CFG-COPEINCA,2015,T2,Centro Sur,88070.0
CFG-COPEINCA,2016,T1,Centro Sur,89050.0
CFG-COPEINCA,2016,T2,Centro Sur,16275.0
CFG-COPEINCA,2017,T1,Centro Sur,133563.0
CFG-COPEINCA,2018,T1,Centro Sur,203280.0
CFG-COPEINCA,2018,T2,Centro Sur,80735.0
CFG-COPEINCA,2019,T1,Centro Sur,126347.0
CFG-COPEINCA,2019,T2,Centro Sur,44870.0
CFG-COPEINCA,2020,T1,Centro Sur,82180.0
CFG-COPEINCA,2020,T2,Centro Sur,58825.0
CFG-COPEINCA,2021,T1,Centro Sur,61055.0
CFG-COPEINCA,2021,T2,Centro Sur,136545.0
CFG-COPEINCA,2022,T1,Centro Sur,168990.0
CFG-COPEINCA,2022,T2,Centro Sur,34760.0
CFG-COPEINCA,2023,T1,Centro Sur,231.4
CFG-COPEINCA,2023,T2,Centro Sur,138250.0
CFG-COPEINCA,2024,T1,Centro Sur,185958.2214064
CFG-COPEINCA,2024,T2,Centro Sur,105964.5912668
CFG-COPEINCA,2025,T1,Centro Sur,194505.1656353
CFG-COPEINCA,2025,T2,Centro Sur,52103.0
HAYDUK,2015,T2,Centro Sur,40940.0
HAYDUK,2016,T1,Centro Sur,36570.0
HAYDUK,2016,T2,Centro Sur,9360.0
HAYDUK,2017,T1,Centro Sur,36835.0
HAYDUK,2018,T1,Centro Sur,53520.0
HAYDUK,2018,T2,Centro Sur,36500.0
HAYDUK,2019,T1,Centro Sur,22795.0
HAYDUK,2019,T2,Centro Sur,3025.0
HAYDUK,2020,T1,Centro Sur,2920.0
HAYDUK,2020,T2,Centro Sur,14625.0
HAYDUK,2021,T1,Centro Sur,5875.0
HAYDUK,2021,T2,Centro Sur,28265.0
HAYDUK,2022,T1,Centro Sur,36155.0
HAYDUK,2022,T2,Centro Sur,2120.0
HAYDUK,2023,T2,Centro Sur,63890.0
HAYDUK,2024,T1,Centro Sur,31442.4278602
HAYDUK,2024,T2,Centro Sur,10491.6980075
HAYDUK,2025,T1,Centro Sur,71294.8447274
HAYDUK,2025,T2,Centro Sur,8234.0
PESQUERA CENTINELA S.A.C,2015,T2,Centro Sur,20472.0
PESQUERA CENTINELA S.A.C,2016,T1,Centro Sur,13295.0
PESQUERA CENTINELA S.A.C,2017,T1,Centro Sur,225.0
PESQUERA CENTINELA S.A.C,2018,T1,Centro Sur,57010.0
PESQUERA CENTINELA S.A.C,2018,T2,Centro Sur,18555.0
PESQUERA CENTINELA S.A.C,2019,T1,Centro Sur,11685.0
PESQUERA CENTINELA S.A.C,2019,T2,Centro Sur,4770.0
PESQUERA CENTINELA S.A.C,2020,T1,Centro Sur,19610.0
PESQUERA CENTINELA S.A.C,2020,T2,Centro Sur,19335.0
PESQUERA CENTINELA S.A.C,2021,T1,Centro Sur,18390.0
PESQUERA CENTINELA S.A.C,2021,T2,Centro Sur,35695.0
PESQUERA CENTINELA S.A.C,2022,T1,Centro Sur,28700.0
PESQUERA CENTINELA S.A.C,2022,T2,Centro Sur,12469.0
PESQUERA CENTINELA S.A.C,2023,T2,Centro Sur,36446.0
PESQUERA CENTINELA S.A.C,2024,T1,Centro Sur,61347.1675538
PESQUERA CENTINELA S.A.C,2024,T2,Centro Sur,26014.1954665
PESQUERA CENTINELA S.A.C,2025,T2,Centro Sur,53943.0
PESQUERA DIAMANTE S.A.,2015,T2,Centro Sur,63550.0
PESQUERA DIAMANTE S.A.,2016,T1,Centro Sur,74085.0
PESQUERA DIAMANTE S.A.,2016,T2,Centro Sur,29240.0
PESQUERA DIAMANTE S.A.,2017,T1,Centro Sur,154635.0
PESQUERA DIAMANTE S.A.,2018,T1,Centro Sur,133638.0
PESQUERA DIAMANTE S.A.,2018,T2,Centro Sur,80165.0
